Gene	Hits	Length
TMEM95	0	2042
METTL2A	1	26209
CCDC144NL	1	32746
C17orf67	0	41983
ENPP7	0	11140
OXLD1	0	1553
CCDC137	0	7176
ARL16	0	2731
KRT17P5	0	3153
LINC02693	0	46161
MSL1	1	14256
LINC00667	1	8407
LRRC30	0	906
LOC339298	1	22258
CPLX4	2	23246
ZNF181	1	8295
ZNF260	0	17660
NANOS2	0	1564
ADAMTSL5	0	8172
CLEC4G	0	3215
LINGO4	0	5118
IRF8	1	23438
RXFP4	0	1146
ANKRD45	0	61527
LINC01343	1	5734
KLHL17	0	5133
TMEM240	0	5583
TMEM52	0	1712
BRINP3	33	379963
MTMR9LP	1	10051
ZBTB8OS	4	50413
TFAP2E	0	21957
ZNF678	9	159133
PRSS38	3	30754
LINC01141	2	68994
CCDC190	3	44358
LINC01140	6	176197
LINC02774	4	129916
ARMH1	2	50870
ZFP69	0	18714
LINC01734	3	10968
LOC339593	1	6725
MRPL58	1	8577
SLC35E4	1	33211
LOC339666	0	7679
TEX33	0	16718
SMIM45	1	6756
ID1	0	1232
SPOPL	6	71456
MAP3K20-AS1	4	84324
CYP27C1	0	36243
ESPNL	0	32978
FAM166C	0	16917
PRR30	0	2618
LINC00299	29	320649
ID2	0	2471
C2orf74-DT	0	3384
C2orf74	1	19722
LINC02579	0	9171
LINC01115	6	84276
CCDC39	14	123867
IHO1	4	59677
KY	2	51714
NUDT16-DT	2	56384
LINC00880	1	41336
GADL1	17	168462
ID3	0	1865
PRSS42P	0	3692
EHHADH-AS1	2	29055
H1-10-AS1	0	8299
CCDC158	6	94267
TMPRSS11A	6	53214
LOC339975	15	201531
TRIML1	0	8052
LRRC66	0	23921
NAT8L	0	9578
ACADM	5	39313
LINC02433	1	3662
SLC6A19	0	23521
PRR7-AS1	0	10056
STING1	1	7231
FAM170A	0	6264
LINC02900	0	11944
SLC25A48-AS1	0	5253
ARSI	0	6617
LINC02239	0	5304
LINC02120	3	15025
ANKRD34B	0	13731
SLC35D3	0	3375
ZC3H12D	0	37383
MYLK4	8	87292
DPPA5	0	1215
CLPSL1	1	7011
TREML1	0	5089
TREML3P	0	9394
ZNF680	1	43251
UNCX	0	3960
COL28A1	10	177217
CTAGE6	0	2662
AGBL3	12	149272
LINC03019	2	45340
KLHL38	0	7276
NRBP2	0	8446
WDR97	0	10590
TMEM249	0	2384
RSPO2	12	184370
POTEA	4	70744
ACER2	3	54694
LINC01501	9	120315
RTL5	1	4791
NHSL2	15	232487
NEXMIF	14	192597
BEX5	0	2308
MORF4L2-AS1	1	5273
VSIG1	0	34215
ZC3H12B	0	19153
SATL1	1	16683
DCAF12L2	0	2599
CA5BP1	3	28436
LHFPL1	6	49497
VWA2	4	55247
NANOS1	0	4627
LRIT2	0	5036
HMX3	0	1681
APOC1	0	5030
LOC341056	0	2046
MS4A10	0	15958
OR2AT4	0	963
HEPHL1	12	92997
OVCH1	8	70131
SYT10	5	64407
ANKRD33	0	3713
OR6C2	0	939
H1-7	0	1300
IDE	11	122412
FREM2	20	200095
NEK5	5	64315
IDH1	1	18854
OR6S1	0	996
IDH2	0	18497
LRRC9	8	143847
IDH3A	1	21166
COX8C	0	1164
IDH3B	1	5825
GLDN	2	66497
GOLGA6A	1	12694
IDH3G	0	8758
TMC3	0	41659
ZNF774	0	9239
FMN1	27	429190
IDI1	0	16681
C16orf96	0	43828
ZKSCAN2	1	21534
ATXN1L	0	11343
PKD1L3	3	70437
IDUA	1	17533
CD300E	0	13876
SMTNL2	0	24339
NACA2	0	770
KRT27	0	5727
SLFN14	0	9967
LRRC37A11P	1	23300
IFI16	2	55188
ANKRD62	0	35901
VSTM2B	2	37736
ZNF850	0	29337
NCCRP1	0	4919
SYCN	0	1345
IFI27	3	5955
LEUTX	0	9542
ZNF404	0	11602
ZNF284	1	62130
C19orf81	1	9866
ZNF677	2	19474
RFPL4A	1	4035
ZSCAN5B	0	3364
NANOS3	0	3509
PALM3	0	5793
AQP8	1	11969
IFI35	0	7735
RD3	0	16396
AADACL4	0	22532
PRAMEF9	4	227813
CCDC18	7	98007
OR6F1	0	927
OR2W3	0	945
OR2T8	0	939
OR2T3	0	957
MYBPHL	1	14677
IFIT2	0	7328
IFIT1	0	13942
OR10R2	0	1008
KCNT2	25	382587
BARHL2	0	5216
NBPF7P	2	10116
DYNLT4	0	1372
OR2T29	0	948
ARHGAP40	2	48719
RSPO4	2	43812
TGM6	0	51846
IFIT3	0	13124
XKR7	3	30452
IFNA1	0	863
MSGN1	0	582
CRACDL	7	142376
APOC2	0	1111
IFNA2	0	1143
FIGLA	0	13334
NOTO	0	8955
IFNA4	0	981
NCKAP5	51	896660
IFNA5	0	700
IFNA6	0	570
CDKL4	3	50986
IFNA7	0	737
PRORSD1P	0	2153
AOX2P	4	98496
IFNA8	0	1039
SH3RF3	12	516211
GPR148	0	1267
DUBR	7	86273
IFNA10	0	963
LRRIQ4	0	15851
SAMD7	1	27467
IFNA13	0	705
AADACL2	2	23853
GPR149	6	92044
ZNF860	1	9963
IFNA14	0	778
TMPRSS7	2	41652
CD200R1L	1	30242
PAQR9	0	2105
NMRAL2P	0	20908
RTP2	0	4299
IFNA16	0	939
OSTN	1	37589
ATP13A5	8	103684
APOC3	0	3164
PRSS48	2	14281
SOWAHB	0	2921
IFNA17	0	980
LRIT3	3	24132
IFNA21	0	1024
MSANTD1	1	7576
SLC10A6	3	25796
HSD17B13	1	19116
IFNA22P	0	876
PFN3	0	530
ZNF879	0	10613
IFNAR2	0	34590
PLCXD3	19	203683
IFNB1	0	840
IRGM	0	2147
MCIDAS	0	7719
ACTBL2	1	2794
FAM174A	4	51317
MTX3	3	14550
IFNG	0	4972
RSPH4A	0	16507
IFNGR1	1	21947
ECT2L	5	107960
IFNGR2	1	34627
EYS	183	1987243
ZNF391	2	12704
SEPTIN14	3	69246
MACC1	7	82735
OR6V1	0	942
OR2A12	0	933
GNAT3	3	53256
MOGAT3	0	5290
GARIN1A	0	11955
STRA8	2	26514
KLRG2	2	30370
IFNW1	0	1514
APOD	0	15504
SLC10A5	0	1317
ADGRD2	0	27446
SPATA31D5P	0	6491
QRFP	0	411
OR1J1	0	969
OR1B1	0	957
IGFBPL1	1	17920
CAVIN4	0	9838
ZNF81	5	85355
ITIH6	4	49342
LANCL3	4	105929
MPC1L	0	571
DCAF8L2	0	2013
OR13H1	0	927
CCDC160	0	8732
RAB41	0	2831
MAGEB5	0	2102
IGBP1	3	32875
TUBB8	1	2351
SOX2-OT	39	685546
ECEL1P2	0	1295
LRRTM1	0	16007
SLC35B2	0	3446
SERINC2	1	25116
NME9	3	68450
OTOP3	1	14191
C6orf52	2	23380
PWAR4	0	342
TBX10	0	8258
GATD1	1	10265
AMIGO2	1	4245
EP400P1	1	44602
APOE	0	3612
IGF1R	13	314999
TMEM255B	1	52684
LINC00442	0	4376
RBPMS2	0	35676
ARPIN	2	12391
LINC01193	0	52867
ACSM2B	3	39613
CLEC18A	0	13643
CTU2	0	8896
SKA2	0	45493
CCL15-CCL14	0	18393
CCDC144CP	6	81018
SELENOV	0	5574
ZNF530	2	12837
SHISAL2A	3	36274
IGFBP1	0	5309
FAM131C	0	15864
IGFBP2	0	31032
IGFBP3	0	9028
MIR3667HG	0	37901
GEN1	3	31456
IGFBP4	0	14307
NA	0	68962
FTCDNL1	3	90638
SPATA3-AS1	0	11665
WDR53	0	14355
LNP1	5	55134
NPHP3-AS1	8	151865
TPRXL	3	128675
ANKRD18DP	6	23139
IGFBP6	0	4693
FAM86EP	0	13480
SLC6A18	1	20835
NIPAL4	3	14704
HCN1	42	441169
NUP43	2	22237
IGFBP7	3	79315
ZNF713	3	53285
CCN1	0	3205
LINC00265	1	61056
WDR86	0	29534
GJC3	0	6352
DPY19L2P2	9	105452
LOC349160	20	265569
TLR8-AS1	1	40484
RTN4RL2	0	16046
APOH	0	17410
GPR142	0	6144
IGHMBP2	1	36751
APP	16	290586
JCHAIN	1	11091
RBPJ	10	115421
GYG2P1	2	15475
CASTOR3P	3	71578
C6orf58	3	14645
APRT	0	2466
RAET1G	0	6201
RILPL1	5	62357
LCE1A	0	625
LCE1B	0	1139
LCE1C	0	1797
LCE1F	0	598
LCE2A	0	1079
LCE2C	0	1259
LCE2D	0	1249
LCE3B	0	288
LCE3C	0	425
TBC1D26	0	13889
TAS2R42	0	945
SLCO4C1	5	62562
KAAG1	0	1382
RGSL1	9	110477
ANKRD37	0	3943
KRTAP12-2	0	739
SPATA12	0	14992
KRTAP12-1	0	588
KRTAP10-10	0	1100
GPR141	0	918
ZNF233	0	15438
TICAM2	1	23838
POLN	8	170216
BMP8A	4	38224
LILRA5	0	6057
KLK3	0	5850
IGLL1	0	7183
IHH	1	6097
IKBKB	0	61352
IL1A	1	11480
IL1B	0	7020
IL1R1	7	109499
IL1RAP	11	143147
IL1RN	5	34657
IL2	1	5025
IL2RA	5	51677
FASLG	0	7828
IL2RB	0	24083
IL2RG	0	4228
IL3	0	2550
IL4	0	8693
IL5RA	4	44051
IL6	1	4856
SHROOM2	6	162986
IL6R	3	64258
IL6ST	3	59897
IL7R	0	22729
CXCL8	1	3211
CXCR2	0	11964
AQP1	0	72122
CXCR2P1	0	2136
IL10RA	1	15094
IL11	0	6082
AQP2	0	8141
IL11RA	0	11200
IL12A	1	7184
IL12B	0	15691
IL12RB2	5	89537
IL13RA1	3	66938
BPIFB3	2	18205
DPPA3	0	6064
IL13RA2	2	13670
PCNAP1	0	1054
MRPL42P5	0	667
KCNIP4-IT1	1	9848
RFLNB	0	5961
IRF2BP2	0	5257
ACADSB	1	49378
AQP3	0	6480
IL15	6	97392
ZBTB41	1	46859
NANOGNB	0	8906
IL15RA	2	25817
FKBP9P1	0	23494
CYCSP52	0	310
GLT6D1	4	15885
PRAC2	0	1578
PRSS41	2	6648
IL16	5	130012
TNFRSF9	2	27295
IL17A	2	4252
FOXK2	1	84890
ILF2	0	9241
ILF3	2	38159
AQP4	2	13709
ILK	0	7136
IMPA1	0	29439
IMPA2	2	49459
IMPDH1	0	17706
IMPDH2	0	5114
IMPG1	12	151274
INCENP	0	29191
AQP5	0	4187
ING1	1	8452
ING2	0	6030
INHA	0	3482
INHBA	0	14106
INHBB	0	5665
INHBC	0	16067
CXCL10	0	2421
INPP1	1	28196
AQP6	0	9946
INPP4A	12	146176
INPP5A	5	245632
INPP5B	2	86361
INPP5D	3	191514
INPPL1	1	14307
INSIG1	0	12460
AQP7	2	17570
INSL3	0	5062
INSM1	0	2828
INSR	0	181746
INSRR	0	18048
EIF3E	5	46988
PDX1	0	6284
IPW	6	115414
IRAK1	0	9386
ITGA6	2	79100
IRAK2	4	78865
IREB2	3	63281
IRF1	0	55128
AQP9	2	47716
IRF2	7	86851
IRF3	0	6307
IRF4	0	19705
IRF5	0	12320
IRF6	1	20553
IRF7	0	3445
IRS1	5	67474
ISG20	0	19976
AR	11	186588
ISL1	0	11606
ISLR	0	3126
ITGA1	4	165712
ITGA2	7	105454
ITGA2B	1	17324
ITGA3	0	34510
ITGA4	9	80850
ABCC6	4	73907
ITGA9	14	367469
ITGAE	0	86619
ITGAM	3	72926
ITGAV	1	90840
ITGAX	1	27810
ITGB1	2	58048
ITGB2	2	42886
ARAF	0	10822
ITGB3	4	90451
ITGB4	0	36384
EIF6	1	5911
ITGB5	8	124350
ITGB6	9	170167
ITGB7	1	15894
ITGB8	4	85058
ITIH1	0	14483
ITIH2	2	46248
ITIH3	0	14242
ACADVL	0	8143
ITK	3	74203
STT3A	2	28542
ITPA	0	15003
ITPK1	6	179005
ITPKA	1	9702
ITPKB	5	107486
ITPR1	18	354493
ITPR2	35	497847
ITPR3	0	75193
IVD	1	15827
IVL	0	3324
JAG2	0	27844
JAK1	8	133714
JAK2	5	143098
JAK3	3	23251
ARCN1	5	30646
JARID2	13	276540
JUN	0	3323
JUP	8	263096
TRIM23	2	34681
ANOS1	15	203313
GSTK1	0	5701
CD82	1	54175
KARS1	0	20920
USP50	2	46144
KCNA1	0	8350
KCNA2	1	37895
H1-9P	0	1049
DND1	0	2791
KCNA4	2	7290
AREG	17	179633
KCNA5	0	2870
FBXW10B	2	31042
NDUFS7	0	12063
KCNA7	0	5524
PTCHD3	1	16181
CCDC172	2	55602
GALNT18	13	351141
NCR3LG1	1	25560
LINC02716	0	927
TMEM179B	0	2999
KCNA10	0	1959
TBC1D10C	0	6178
DNAJB13	1	19969
LOC374443	1	41131
KRT77	0	13837
PTPRQ	22	235843
C12orf42	19	258381
TPTE2P6	0	30802
KCNB1	6	111986
ASPG	0	27024
KCNC1	1	47108
TEX9	3	80429
KIF7	0	27482
ZNF710	2	80681
HDDC3	0	1620
WASH3P	0	15793
KCNC2	16	169671
TEPP	2	11679
EFCAB5	10	178597
KCNC3	0	17436
LRRC37A3	6	65099
ANKRD30B	3	104499
CCDC178	36	503320
ATP9B	12	308886
PEAK3	0	7551
HSD11B1L	1	7759
TEX45	0	10892
ZNF699	0	9810
TMEM205	0	3530
YJEFN3	0	21375
SBSN	0	4985
ZNF829	0	28168
KCNC4	1	23339
ZNF568	5	81604
B3GNT8	0	3372
IGFL1	0	1492
ZNF773	0	18464
DRAXIN	2	28556
SPATA21	1	41744
SVBP	1	10337
TEX38	0	1760
MROH7	2	68513
MIGA1	6	99917
ARF1	0	16553
PEAR1	0	22704
SFT2D2	0	16834
STUM	1	60415
FAM89A	1	21292
KCND2	51	476666
PFN4	0	7908
LOC375196	0	1057
KCND3	10	213324
ANKRD36	17	151025
WASH2P	0	15384
RBM43	1	13662
LINC01116	0	7994
KCNE1	7	65588
CATIP	0	11239
RBM44	2	44064
AQP12A	0	6639
LHFPL4	5	55442
TOPAZ1	8	90213
STIMATE	0	60826
KCNF1	0	2289
C5orf34	4	28471
MAST4	30	573248
SIMC1	12	107621
KCP	3	48269
SPATC1	0	15434
WASH5P	0	10016
KCNH2	0	33359
ENHO	0	1998
AQP7P1	3	35226
PTAR1	1	50439
ERCC6L2	13	129238
PNPLA7	2	90582
AGRN	1	35997
CYSRT1	0	1120
KCNJ1	2	29360
KCNJ2	0	11370
DMBT1L1	1	40952
KCNJ4	1	28873
RAB15	1	26344
KCNJ6	14	291957
KCNJ8	0	9867
RNF126P1	0	1318
SLC27A1	0	35678
KCNJ9	1	7853
KCNJ10	3	32795
RPS10P7	0	689
KCNJ11	0	4083
KCNJ12	1	43481
SDC4P	0	467
KCNJ13	2	10764
ZC3H6	7	64463
KLHL30	0	14185
PRSS45P	2	70484
KCNJ15	3	71910
KCNJ16	9	60381
KCNK1	5	58509
KCNK2	19	231552
USP17L2	0	1593
KCNMA1	48	768219
ENTPD8	0	7086
ARF4	2	26126
KCNN1	0	47820
KCNN2	8	134182
KCNN3	8	172813
KCNN4	0	14725
KCNQ1	12	404120
KCNQ2	0	66452
KCNQ3	23	359900
KCNS1	0	8804
CENPS	0	12714
KCNS2	0	3774
LINC-PINT	11	165735
CATSPER4	0	11915
PICSAR	0	5516
LINC00317	1	14027
COL18A1-AS1	0	5355
NHLRC1	0	2134
RNF148	0	1302
MALAT1	2	8707
RBMY1E	13	302867
KCNS3	1	55112
RNF138P1	0	5701
PSMA3-AS1	1	32773
KDR	2	47337
KEL	2	21303
KHK	0	14009
KIF2A	3	81023
KIF3C	1	55989
KIF5A	3	34708
KIF5B	4	47434
ACAT1	1	26634
KIFC3	6	104605
KIR2DL2	2	14539
KIR2DL3	7	45805
KIR2DS1	12	90634
KIR2DS4	12	100895
ARF5	0	3354
KIR2DS5	11	91222
KIR3DS1	3	46179
KISS1	0	6151
KIT	5	82787
KLKB1	3	30954
ARF6	0	4037
KLRB1	0	12628
KLRC1	0	12353
KLRC2	0	9400
KLRC3	1	23679
KLRD1	2	12801
KNG1	1	27102
KLC1	4	138590
KIF11	2	62328
KIF22	0	14673
KPNA1	7	93039
KPNB1	2	33801
KPNA4	5	70594
KPNA5	3	60664
TNPO1	3	97798
IPO5	5	70622
KRAS	4	45684
KRTAP5-9	0	1188
KRT1	1	5672
KRT3	0	6424
KRT4	0	7574
KRT5	0	5885
KRT6A	0	6224
KRT6B	0	5476
KRT7	1	15756
KRT9	0	6217
KRT10	2	4495
KRT12	0	6033
KRT13	0	4633
KRT14	0	4617
CHKB-CPT1B	0	14139
GRASLND	0	6407
KRT15	0	8030
ZFP91-CNTF	1	46619
KCTD8	15	274905
KCTD4	2	8188
SAP30L-AS1	1	56054
KRTAP10-4	0	1382
KRTAP10-6	0	1238
KRTAP10-7	0	1595
KRTAP10-9	0	1256
KRTAP10-1	0	1011
KRTAP10-11	0	1236
KRTAP10-2	0	1071
KRTAP10-5	0	918
KRTAP10-8	0	876
KRTAP10-3	0	738
KRTAP12-4	0	447
KRTAP10-12	0	873
AMIGO3	0	2972
MRGPRG	0	870
SLC6A10P	0	7667
ZNF582-DT	0	5500
KRT16	0	3049
ZKSCAN4	0	14522
GUSBP2	5	85068
HMGA1P7	0	3708
SNHG5	0	1727
SUMO4	0	688
C6orf147	1	36227
CENPW	0	8502
SOGA3	10	80950
LINC00222	2	18289
CEP85L	25	249304
NPSR1	15	220048
KRT17	1	5191
C6orf120	0	4146
KRTAP5-3	0	899
KRTAP5-10	0	1058
VN1R10P	0	1202
H2AC2P	0	429
NSUN4	0	24976
THEMIS	17	210438
LINC00320	5	60514
RASL11A	0	3364
KRT18	0	4031
GPR153	0	13630
PEDS1	1	30062
PEDS1-UBE2V1	1	72675
ILDR2	7	62121
SLC22A25	2	65829
FGF7P6	4	59264
NA	1	20797
SKIDA1	1	12203
FAM238C	0	10796
LRRC37A6P	0	6454
PTCHD3P1	4	78303
SH2D4B	3	108659
GPR15LG	0	11497
SLC16A12	6	105263
CC2D2B	4	58656
ENO4	1	33090
ARMS2	0	2690
TEX36	5	106441
C10orf143	3	46920
IFITM5	0	1326
FAM99A	0	2258
OR56B1	0	1091
GVINP1	0	8730
INSC	8	134787
FIBIN	0	3005
C11orf96	0	1328
SLC22A10	16	215212
SPDYC	0	2982
LIPT2	0	1833
VSTM5	3	29934
CLEC2A	2	33709
CLEC12B	0	8169
RPL13AP20	0	660
REP15	0	1139
CCDC184	0	2344
TMEM233	4	48100
KMT5A	0	25197
LINC00944	2	41562
C1QTNF9B	0	6404
SHISA2	0	6464
NHLRC3	0	11797
SERP2	1	23873
LINC01551	1	22091
TOMM20L	0	12776
RHOB	0	2367
KRT19	0	4773
SERPINA13P	1	6270
RTL1	0	4193
TMEM179	0	10678
KRT31	0	3868
CCDC9B	1	9516
TNFAIP8L3	5	48675
INSYN1	0	11676
GOLGA2P7	3	31321
UBE2Q2P1	3	43600
SPATA41	0	6262
PRR25	0	8419
KRT32	0	7874
SBK1	1	31331
C16orf87	2	29116
LINC02911	3	47584
LOC388282	1	6283
C16orf86	0	1945
KRT33A	0	4720
GLTPD2	0	1631
INCA1	0	9481
SCIMP	0	25940
SPDYE4	0	5454
TMEM220	0	17008
LRRC75A	2	50187
TMIGD1	1	17700
CCL4L1	8	103379
C17orf98	1	6302
CCDC103	0	3968
RPRML	0	1093
YPEL2	3	70043
LINC02875	0	1530
BTBD17	0	5404
PVALEF	0	17658
POTEC	2	31863
LYPLA2P2	0	1601
KRT34	0	4716
C3P1	1	32782
ZNF788P	1	22417
CLEC17A	0	28061
CYP4F24P	1	20655
ZNF728	1	28326
RPSAP58	3	65104
RGS9BP	0	2894
KRTDAP	0	3208
ZNF790	2	32466
CEACAM22P	1	19106
CEACAM16	0	11566
BLOC1S3	1	3056
IGFL3	0	4604
ZNF761	2	26289
TMEM238	0	5016
ZNF470	2	21389
ZNF749	0	10499
ZNF324B	0	6229
RPL23AP87	3	13908
HES5	0	1501
RNF207	0	15171
TMEM82	0	5306
TRNP1	0	7183
CD164L2	0	4210
TRABD2B	7	236363
LDLRAD1	0	10889
GBP7	6	44290
C1orf146	0	27795
DIPK1A	9	128794
SLC6A17	3	51692
NOTCH2NLA	8	86415
LINC02591	0	12267
LYSMD1	0	6201
KRT81	1	22459
CFAP141	1	7280
FMO6P	4	23824
LINC00272	1	7193
C1orf53	0	4816
TMEM81	0	1332
CAPN8	4	138465
COA6	0	10582
OR2M1P	0	645
SMIM26	0	2131
SNHG17	2	14780
FAM209B	0	11790
KRT82	0	12442
NA	4	50945
MIR99AHG	20	539253
KRTAP26-1	0	1158
CCDC188	0	1323
LRRC75B	0	7445
KRT83	0	7098
OGFRP1	0	5110
LINC00207	0	3110
MFSD2B	0	14193
PCARE	0	12572
LINC01913	0	16492
TMEM247	0	4861
LINC01118	1	5993
TSPYL6	0	3095
C2orf78	0	32959
BOLA3	0	12512
C2orf81	0	3542
FUNDC2P2	0	1519
C2orf68	0	6804
KRT84	1	7822
SLC9A4	7	60670
DPP10-AS1	0	17296
PLAC9P1	0	11456
LINC01120	0	5328
SP5	0	2642
PLEKHM3	13	204273
C2orf80	0	24703
RESP18	0	5769
SNORC	0	6114
OR6B2	0	939
KRT85	0	7520
ZNF662	0	13424
CDHR4	0	9088
IQCF2	0	1796
MUSTN1	0	5443
VGLL3	7	53135
PRR23C	0	2791
PLSCR5	2	29609
ANKUB1	2	31721
LEKR1	15	219823
TMEM212	2	15970
SMIM20	1	15688
BEND4	0	42026
GRXCR1	9	137393
TMPRSS11F	3	76672
ING2-DT	0	9779
LRRC14B	0	3843
TEX43	0	4561
SMIM32	0	1696
PROB1	0	3251
ARHGEF37	2	53393
PSMG4	0	9139
CLPSL2	0	2938
GLYATL3	5	28107
GFRAL	4	75025
LIN28B	6	126285
SAMD5	6	61330
RBAKDN	0	1164
NUPR2	0	1717
KTN1	6	104378
NA	1	59721
GTF2IRD2B	0	57277
CCZ1P-OR7E38P	7	97972
LAMTOR4	0	5304
FEZF1	0	3118
FAM180A	0	19249
XKR5	2	27126
FAM90A25P	0	3512
LINC00937	0	39840
TNFRSF10A-DT	0	5706
NUGGC	2	61908
LINC03042	4	17829
ALKAL1	1	31425
XKR9	2	66578
LINC02906	4	32756
RBM12B	1	9494
MROH5	1	73402
MAFA	0	2373
L1CAM	0	24660
LOC389705	2	26398
SPATA31A6	0	6229
GLIDR	0	2681
SPATA31D4	0	6571
SPATA31D3	0	6595
SPATA31D1	0	6485
LOC389765	0	36878
C9orf153	1	39393
PTGES2-AS1	0	2106
IER5L	0	2710
LAD1	1	18704
LCN15	0	4880
AJM1	0	2931
LRRC26	0	1280
MYMK	0	10361
LOC389831	2	43782
LOC389834	0	8205
MAP3K15	9	155204
USP27X	0	2699
PAGE2B	2	17772
ZCCHC13	0	845
LOC389895	0	1245
UBE2NL	0	1185
AFF3	35	595322
LOC389906	4	26360
C1QL3	0	8263
ACAT2	1	17099
GUCY2GP	2	48418
NKX1-2	0	2553
OR52K1	0	1030
OR52I1	0	975
OR51D1	0	1124
OR52A5	0	951
OR51B6	0	939
OR51M1	0	1058
OR51Q1	0	1096
OR51I1	0	1012
OR51I2	0	1070
OR52D1	1	1064
OR52H1	1	963
OR52N4	0	1037
OR52N5	0	1034
OR52N2	0	966
OR52E6	0	942
OR52E8	0	954
OR56A3	0	948
OR56A5	0	942
OR10A6	0	945
ACCSL	0	11997
OR4X1	0	918
OR5W2	0	933
OR8H2	0	939
OR8H3	0	939
OR5T1	0	981
OR8K1	0	960
OR5M10	0	948
OR5AK2	0	930
OR5B2	0	1049
OR5B12	0	1054
OR5AN1	0	936
OR4D9	0	945
OR10V1	0	930
LRRC10B	0	2219
GPR152	0	1429
DOC2GP	0	2141
GUCY2EP	1	41624
TRIM77	0	7574
IZUMO1R	0	2056
KDM4E	0	2339
BSX	1	4023
OR6X1	0	939
OR10G4	0	936
OR10G7	0	936
OR8A1	0	981
LAIR1	2	16931
OR6C1	0	939
OR6C75	0	939
OR6C70	0	939
LAIR2	0	12801
OR4N2	0	924
OR4K2	0	945
OR4K17	0	1032
OR4N5	0	927
OR11G2	0	1038
OR11H4	0	975
GOLGA8EP	1	13354
OR4M2	0	1084
OR4N3P	0	934
HERC2P10	0	9748
UBAP1L	1	22194
SKOR1	2	14133
ANKRD34C	2	15436
GDPGP1	1	7826
OR4F6	0	939
OR4F15	0	939
C1QTNF8	0	8019
PTX4	0	2529
LOC390705	86	997835
CES1P2	1	25287
ARL5C	0	10172
KRT39	0	8476
OACYLP	1	17476
ONECUT3	0	21783
OR7G2	0	1038
OR7G3	0	939
OR7A10	0	930
LAMA3	18	265468
NUDT19	4	21836
ZNF793	0	36399
PINLYP	0	7163
ZNF818P	0	3155
ZNF805	1	22054
HES3	0	1387
PRAMEF12	1	3065
RHOG	3	14006
LAMA4	11	146784
PLA2G2C	0	11204
SKINT1L	9	80714
UOX	1	32936
LAMA5	0	58248
VHLL	0	1014
OR10K2	0	939
OR10K1	0	942
OR6Y1	0	978
VSIG8	0	8342
OR11L1	0	969
OR2L8	0	939
OR2AK2	0	1008
OR2L3	0	939
OR2M2	0	1044
OR2T33	0	963
OR2M7	0	939
LAMB1	5	79559
OR2G6	0	951
SPINT4	0	3348
SUMO1P1	0	1209
ANKRD20A11P	3	36670
LAMB2	0	12053
LOC391322	0	927
PTRHD1	0	3116
SULT6B1	1	20728
LAMB3	1	37603
DYTN	4	66776
LAMC1	4	122133
VENTXP7	1	960
LAMP1	1	26273
USP17L9P	0	1593
TRIM61	1	23221
HELT	0	1964
LAMC2	3	59089
ARHGAP1	1	23591
LAMP2	2	43202
RPSA	0	5829
OR2A25	0	933
USP17L8	0	1593
USP17L7	0	1593
LOC392232	4	46336
GDF6	1	18463
FAM221B	1	11731
OR13J1	0	939
CTSL3P	0	13970
LOC392364	0	1014
OR1L6	0	936
OR5C1	0	963
LCN9	0	2782
GLOD5	0	11911
NA	0	17567
STMN1	1	22692
ELFN1	1	38793
AGMO	11	361698
LASP1	5	51912
GRID2IP	1	54659
LBP	1	30840
ARHGAP4	0	18885
LBR	2	27354
OR2A5	0	936
LCAT	0	4229
LCK	1	34927
LCN1	0	5103
LCN2	0	4003
LCT	2	49336
LDHA	1	13830
ARHGAP5	9	82746
LDHB	1	22515
LDHC	2	38941
LDLR	1	44468
ARHGAP6	33	528159
LECT2	0	8124
LEP	1	16352
LEPR	15	217046
LETM1	1	44769
LFNG	0	16648
LGALS1	0	4197
LGALS2	0	9772
LGALS3	2	16214
LGALS3BP	0	8727
ARHGDIA	0	3686
LGALS4	0	11430
LGALS7	0	2550
LGALS8	0	34766
LGALS9	2	18413
ARHGDIB	1	19613
LHCGR	6	68968
LHX1	0	7144
LIF	0	6405
LIG1	5	54858
ARHGDIG	0	2763
LIG3	1	24572
LIG4	0	10925
LIM2	0	8048
ABLIM1	21	337151
LIMK2	1	67817
LIMS1	8	152892
RHOH	2	47755
LIPC	10	158299
LIPE	1	25913
FADS1	0	17433
LLGL2	1	49508
SPRED3	0	9684
TMEM200B	0	4485
FADS3	0	18009
SLC25A35	0	7090
LLGL1	0	19253
MEX3D	0	13390
EEIG1	0	39952
SMIM10L2A	0	4358
ZNF321P	0	15460
HEATR4	5	80463
MYO18A	1	106880
SHC4	6	139708
CTXN2	1	12085
LINC00200	0	4905
LINC00701	0	14756
LINC02649	1	58288
GATA3-AS1	0	3035
LINC00999	2	24008
ACTR3BP5	0	1645
LMAN1	1	31453
C10orf120	0	2114
EEF1AKMT2	2	33034
EDRF1-DT	0	14204
FOXI2	0	3913
LINC01164	0	17802
LINC01168	0	10964
SPRNP1	0	3025
LINC01002	0	5194
NAV2-AS4	0	13186
HNRNPKP3	1	7866
PCNX3	0	21128
ACTE1P	0	17609
COLCA1	0	11657
MIR100HG	29	278657
PATE2	1	2687
GSEC	0	13871
SNX19	4	40617
ASIC2	69	1143720
ARL1	1	14670
LMNA	3	57512
LINC00938	0	2202
LINC02381	3	6772
LINC02389	12	93749
MKRN9P	0	1826
C12orf76	1	32457
LINC00939	2	24687
LINC02393	1	17023
